station_id,station_name,municipality,latitude,longitude,wheelchair_accessible,location_type,vehicle_type
70077,Downtown Crossing,Boston,42.355518,-71.060225,True,0,1.0
1735,Blue Hill Ave @ Westview St,Boston,42.291296,-71.088891,True,0,3.0
19201,Cambridge St opp Elko St,Boston,42.349311,-71.149073,True,0,3.0
9070006,Jackson Square - Columbus Ave @ Centre St,Boston,42.322362,-71.098614,True,0,3.0
node-417-lobby,Courthouse,Boston,,,True,3,
70207,Science Park/West End,Boston,42.366664,-71.067666,True,0,0.0
2231,Main St @ Kendall Station - Red Line,Cambridge,42.362498,-71.085841,True,0,3.0
1521,Brookline Ave @ Longwood Ave,Boston,42.33851,-71.107918,True,0,3.0
node-dwnxg-stair14-lobby,Downtown Crossing,Boston,,,True,3,
11613,W Boundary Rd @ Washington St,Boston,42.267432,-71.149989,True,0,3.0
door-alfcl-alewifes,Alewife Path South,Cambridge,42.395753,-71.141256,True,2,
node-spmnl-ofarepaid,Science Park/West End,Boston,42.36666,-71.067927,True,3,
node-712-platform,Orient Heights,Boston,42.386992,-71.004863,True,3,
70159,Boylston,Boston,42.353214,-71.064545,False,0,0.0
2515,Windsor St @ Lincoln St,Cambridge,42.371052,-71.09398,True,0,3.0
5251,1467 Centre St opp Hewlett St,Boston,42.292235,-71.138693,True,0,3.0
58,Massachusetts Ave @ Harrison Ave,Boston,42.334948,-71.074931,True,0,3.0
node-sull-nbstairs-lobby,Sullivan Square,Boston,,,True,3,
1936,South St @ Spalding St,Boston,42.303741,-71.114635,True,0,3.0
door-masta-camden,Camden St,Boston,42.340379,-71.084763,False,2,
1816,Brookline St @ Green St,Cambridge,42.363303,-71.101948,True,0,3.0
12439,Prospect St @ Cambridge St,Cambridge,42.37378,-71.097963,True,0,3.0
node-384-top,North Station,Boston,42.364682,-71.059652,True,3,
node-lech-obrienstairs-top,Lechmere,Cambridge,42.370861,-71.075629,True,3,
325,Park St Busway @ Dorchester Ave,Boston,42.298197,-71.060956,True,0,3.0
node-state-olnbplatformstairssec-nbplatform,State,Boston,,,True,3,
135,Columbia Rd @ Pond St,Boston,42.3201,-71.060824,True,0,3.0
5505,173 Alford St,Boston,42.392843,-71.068478,True,0,3.0
41,E Broadway @ L St,Boston,42.335658,-71.035628,True,0,3.0
node-pktrm-ebupassstairs-platform,Park Street,Boston,,,True,3,
608,Washington St @ W Roxbury Pkwy,Boston,42.275418,-71.140573,True,0,3.0
77,Massachusetts Ave @ Marlborough St,Boston,42.34995,-71.089148,True,0,3.0
node-sstat-411stair-sl,South Station,Boston,,,True,3,
node-357-bottom,Alewife,Cambridge,42.395816,-71.140942,True,3,
1168,Washington St @ Townsend St,Boston,42.319958,-71.094067,True,0,3.0
1056,River St @ Fairmont St,Cambridge,42.362565,-71.112387,True,0,3.0
190,Congress St @ State St,Boston,42.358789,-71.056733,True,0,3.0
6376,River St @ Metropolitan Ave,Boston,42.260492,-71.115601,True,0,3.0
node-307-platform,Sullivan Square,Boston,,,True,3,
node-858-lobby,Tufts Medical Center,Boston,,,True,3,
327,Dorchester Ave @ Melville Ave,Boston,42.296156,-71.0614,True,0,3.0
5844,Bennington St @ Curtis St,Boston,42.381875,-71.020555,True,0,3.0
node-haecl-congogplats-passage,Haymarket,Boston,,,True,3,
5222,Centre St @ Ardale St,Boston,42.293246,-71.137342,True,0,3.0
6573,S Huntington Ave @ VA Hospital,Boston,42.326594,-71.111284,True,0,3.0
node-state-bowdoinramp-nbplatform,State,Boston,,,True,3,
door-north-valentiexitw,Valenti Way,Boston,42.36497,-71.059898,False,2,
node-knncl-nbsec-farepaid,Kendall/MIT,Cambridge,,,True,3,
node-436-platform,Arlington,Boston,,,True,3,
node-tumnl-wash-fareunpaid,Tufts Medical Center,Boston,,,True,3,
525,Morton St @ Greendale Rd,Boston,42.28537,-71.093181,True,0,3.0
node-andrw-farepaid,Andrew,Boston,,,True,3,
door-cedgr-fellsway,Fellsway St,Boston,42.27971,-71.06036,True,2,
973,Washington St @ Market St,Boston,42.349206,-71.15404,True,0,3.0
node-pktrm-cpwbstairs-rl,Park Street,Boston,,,True,3,
5230,Centre St opp Louders Ln,Boston,42.305854,-71.12422,True,0,3.0
place-conrd,Silver Line Way,Boston,42.347154,-71.038385,True,1,
node-haecl-busolstair-green,Haymarket,Boston,,,True,3,
70233,Dean Road,Brookline,42.337807,-71.141753,False,0,0.0
70155,Copley,Boston,42.350126,-71.077376,True,0,0.0
2757,Cambridge St @ Brighton St,Boston,42.38258,-71.078386,True,0,3.0
node-923-platform,Aquarium,Boston,,,True,3,
1750,Heath St @ Walden St,Boston,42.326014,-71.104744,True,0,3.0
70096,JFK/UMass,Boston,42.320434,-71.052215,True,0,1.0
place-amory,Amory Street,Boston,42.350992,-71.114748,True,1,
6548,Devonshire St @ Milk St,Boston,42.356837,-71.057414,True,0,3.0
