name,acres,neighborhood_id,sqmiles,Shape_Length,Shape_Area,source_file,cleaned_date
Roslindale,1605.5682375,15,2.51,0.169120200208979,0.000709217614608,boston_neighborhood_boundaries.csv,2025-11-30 19:58:12
Jamaica Plain,2519.24539377,11,3.94,0.179578227878964,0.001113247924748,boston_neighborhood_boundaries.csv,2025-11-30 19:58:12
Mission Hill,350.8535636,13,0.55,0.059235047063125,0.000155099293798,boston_neighborhood_boundaries.csv,2025-11-30 19:58:12
Longwood,188.61194672,28,0.29,0.038816302840219,8.3387233028e-05,boston_neighborhood_boundaries.csv,2025-11-30 19:58:12
Bay Village,26.53983916,33,0.04,0.015625047520758,1.1735455819e-05,boston_neighborhood_boundaries.csv,2025-11-30 19:58:12
Leather District,15.63990811,27,0.02,0.010477927094291,6.915894398e-06,boston_neighborhood_boundaries.csv,2025-11-30 19:58:12
Chinatown,76.32440999,26,0.12,0.032740522863704,3.3749276306e-05,boston_neighborhood_boundaries.csv,2025-11-30 19:58:12
North End,126.91043901,14,0.2,0.052807048526637,5.6124859204e-05,boston_neighborhood_boundaries.csv,2025-11-30 19:58:12
Roxbury,2108.46907176,16,3.29,0.153269410808812,0.000931883445999,boston_neighborhood_boundaries.csv,2025-11-30 19:58:12
South End,471.53535561,32,0.74,0.058464505283652,0.000208479454618,boston_neighborhood_boundaries.csv,2025-11-30 19:58:12
Back Bay,399.31441106,2,0.62,0.063374442022256,0.000176571819555,boston_neighborhood_boundaries.csv,2025-11-30 19:58:12
East Boston,3012.05959319,8,4.71,0.394692118098336,0.001334194575502,boston_neighborhood_boundaries.csv,2025-11-30 19:58:12
Charlestown,871.54122286,4,1.36,0.186461595213775,0.000385561699449,boston_neighborhood_boundaries.csv,2025-11-30 19:58:12
West End,190.4907324,31,0.3,0.059143298175638,8.4252077232e-05,boston_neighborhood_boundaries.csv,2025-11-30 19:58:12
Beacon Hill,200.15690397,30,0.31,0.045895267736325,8.8516870624e-05,boston_neighborhood_boundaries.csv,2025-11-30 19:58:12
Downtown,397.47284644,7,0.62,0.112373591095373,0.000175773302113,boston_neighborhood_boundaries.csv,2025-11-30 19:58:12
Fenway,560.61846143,34,0.88,0.081384936562602,0.000247878950884,boston_neighborhood_boundaries.csv,2025-11-30 19:58:12
Brighton,1840.40859627,25,2.88,0.158172011061588,0.000813789666198,boston_neighborhood_boundaries.csv,2025-11-30 19:58:12
West Roxbury,3516.42178618,19,5.49,0.212543253972449,0.001553226795773,boston_neighborhood_boundaries.csv,2025-11-30 19:58:12
Hyde Park,2927.22116773,10,4.57,0.209005187235534,0.0012924791001,boston_neighborhood_boundaries.csv,2025-11-30 19:58:12
Mattapan,1352.09835365,12,2.11,0.137579050493698,0.00059720250614,boston_neighborhood_boundaries.csv,2025-11-30 19:58:12
Dorchester,4662.8794573,6,7.29,0.333581268539737,0.002060215942645,boston_neighborhood_boundaries.csv,2025-11-30 19:58:12
South Boston Waterfront,621.84352373,29,0.97,0.125951270258673,0.00027495664386,boston_neighborhood_boundaries.csv,2025-11-30 19:58:12
South Boston,1439.88880731,17,2.25,0.212398700706368,0.000636552305208,boston_neighborhood_boundaries.csv,2025-11-30 19:58:12
Allston,998.53447869,24,1.56,0.122310950454451,0.000441599797148,boston_neighborhood_boundaries.csv,2025-11-30 19:58:12
Harbor Islands,824.88865794,22,1.29,0.297930934951251,0.000364630871659,boston_neighborhood_boundaries.csv,2025-11-30 19:58:12
