Match_type,Ref_ID,ID1,Id,SchoolId,Name,Address,City,Zipcode,Contact,PhoneNumbe,YearBuilt,NumStories,Cost,NumStudent,BackupPowe,ShelterCap,Latitude,Longitude,Comment,X,Y,NumStudent12,CampusHous,NumStudents13,URL,shape_wkt,POINT_X,POINT_Y,source_file,cleaned_date
NCES,0,"Fruit St, Boston, Massachusetts 02114-2696",98627,431594,Massachusetts General Hospital Dietetic Internship,"Fruit St, Boston, Massachusetts 02114",West End,365190.0,MASS GEN EYE * EAR INF,(617) 726-2589,1899,13,106836600.0,10.0,0.0,,42.36259065,-71.07014072,0300381001,772340.99986702,2957450.0000556,,,20.0,,POINT (-71.070140721999962 42.362590658000045),-71.07014072199996,42.362590658000045,colleges_and_universities.csv,2025-11-30 19:58:13
NCES & Consortium,0,"8 Ashburton Place, Boston, Massachusetts 02108-27*",11959,168005,Suffolk University,"8 Ashburton Pl Beacon Hill, Boston, Massachusetts 02108",Boston,149016.0,SUFFOLK UNIVERSITY TRSTS OF,(617) 573-8000,1899,12,21673500.0,9148.0,0.0,,42.35890485,-71.0619481,0302802001,774562.0259367701,2956118.0844123494,9101.0,21%,8675.0,http://www.suffolk.edu,POINT (-71.061948105999988 42.358904851000034),-71.06194810599999,42.358904851000034,colleges_and_universities.csv,2025-11-30 19:58:13
NCES & Consortium,0,"41 Berkeley St, Boston, Massachusetts 02116",16632,165884,Benjamin Franklin Institute of Technology,"41 Berkeley St, Boston, Massachusetts 02116",South End,78750.0,CITY OF BOSTON,(617) 423-4630,1920,4,15975800.0,594.0,0.0,,42.34610271,-71.07018646,0500688000,772358.91485744,2951441.41397569,472.0,,482.0,http://www.bfit.edu,POINT (-71.070186465999939 42.346102717000065),-71.07018646599994,42.346102717000065,colleges_and_universities.csv,2025-11-30 19:58:13
NCES & Consortium,0,"250 New Rutherford Ave, Boston, Massachusetts 021*",1949,165112,Bunker Hill Community College,"250 New Rutherford Ave, Boston, Massachusetts 02129",Charlestown,203509.0,COMMONWEALTH OF MASS,(617) 228-2000,1899,4,17181400.0,11009.0,0.0,,42.37511654,-71.06957165,0202170000,772471.7597761,2962015.46664644,12934.0,,14023.0,http://www.bhcc.mass.edu,POINT (-71.069571657999973 42.37511655000003),-71.06957165799997,42.37511655000003,colleges_and_universities.csv,2025-11-30 19:58:13
NCES & Consortium,0,"36 1st Avenue, Boston, Massachusetts 02129-4557",9109,166869,MGH Institute of Health Professions,"36 1st Avenue, Boston, Massachusetts 02129",Charlestown,70077.0,MGH INSTITUTE OF HEALTH,(617) 726-3140,1899,3.5,9386500.0,900.0,0.0,,42.37491705,-71.05397174,0203504000,776687.32122685,2961964.42442569,928.0,,1096.0,http://www.mghihp.edu,POINT (-71.053971740999941 42.374917058000051),-71.05397174099994,42.37491705800005,colleges_and_universities.csv,2025-11-30 19:58:13
NCES & Consortium,0,"400 The Fenway, Boston, Massachusetts 02115",86640,165671,Emmanuel College,"400 Fenway, Massachusetts 02115",Fenway/Kenmore,52212.0,EMMANUEL COLLEGE TRUSTEES,(617) 735-9715,1899,3,99370400.0,2454.0,0.0,,42.34151633,-71.10347795,0401847000,763367.00600402,2949726.45415102,2519.0,48%,2436.0,http://www.emmanuel.edu,POINT (-71.10347795399997 42.341516334000062),-71.10347795399997,42.34151633400006,colleges_and_universities.csv,2025-11-30 19:58:13
NCES & Consortium,0,"230 The Fenway, Boston, Massachusetts 02115-5596",86302,166984,School of the Museum of Fine Arts-Boston,"230 The Fenway, Boston, Massachusetts 02115",Fenway/Kenmore,113496.0,MUSEUM OF FINE ARTS,(617) 267-6100,1987,3,8437121.0,754.0,0.0,,42.33853793,-71.09669362,0401806000,765206.27693177,2948649.67087152,747.0,14%,651.0,http://www.smfa.edu,POINT (-71.096693628999958 42.338537939000048),-71.09669362899996,42.33853793900005,colleges_and_universities.csv,2025-11-30 19:58:13
NCES & Consortium,0,"300 The Fenway, Boston, Massachusetts 02115-5898",86125,167783,Simmons,"300 Fenway, Boston, Massachusetts 02115",Fenway/Kenmore,240740.0,SIMMONS COLLEGE,(617) 521-2000,1976,4,55553100.0,5003.0,0.0,,42.33918733,-71.0999399,0401842000,764327.4965371,2948882.18812302,4829.0,75%,4900.0,http://www.simmons.edu,POINT (-71.099939904999985 42.339187331000062),-71.09993990499999,42.33918733100006,colleges_and_universities.csv,2025-11-30 19:58:13
NCES & Consortium,0,"One Silber Way, Boston, Massachusetts 02215",15422,164988,Boston University,"One Silber Way, Boston, Massachusetts 02215",Fenway/Kenmore,593154.0,BOSTON UNIVERSITY TRSTS OF,(617) 353-2000,1996,8,66943300.0,31960.0,0.0,,42.34955975,-71.09970931,0503991000,764372.1007786,2952662.39119252,32439.0,74%,32411.0,http://www.bu.edu,POINT (-71.09970931099997 42.349559758000055),-71.09970931099997,42.349559758000055,colleges_and_universities.csv,2025-11-30 19:58:13
NCES & Consortium,0,"8 the Fenway, Boston, Massachusetts 02215",22285,164933,The Boston Conservatory,"8 Fenway, Boston, Massachusetts 02215",Fenway/Kenmore,35350.0,BOSTON CONSERVATRY MUSIC,(617) 536-6340,1899,6,4900600.0,682.0,0.0,,42.34605822,-71.09001133,0401795000,766999.74480152,2951398.81629185,710.0,29%,774.0,http://www.bostonconservatory.edu,POINT (-71.090011329999982 42.346058223000057),-71.09001132999998,42.34605822300006,colleges_and_universities.csv,2025-11-30 19:58:13
NCES,0,"200 Riverway, Boston, Massachusetts 02215-4176",86683,168290,Wheelock College,"200 the Riverway, Boston, Massachusetts 02215",Fenway/Kenmore,75256.0,WHEELOCK SCHOOL,(617) 734-5200,1925,3,11614900.0,1055.0,0.0,,42.34174,-71.10642,0402011000,762571.2487372701,2949804.27847044,1285.0,70%,1378.0,http://www.wheelock.edu,POINT (-71.106419999999957 42.341740000000073),-71.10641999999996,42.34174000000007,colleges_and_universities.csv,2025-11-30 19:58:13
NCES,0,"1234 Columbus Ave, Roxbury Crossing, Massachusett*",89176,167631,Roxbury Community College,"1234 Columbus Ave, Roxbury Crossing, Massachusetts 02120",Roxbury,144812.0,BOARD OF REGENTS OF,(617) 427-0060,1986,5,30893400.0,2749.0,0.0,,42.32923535,-71.09549441,1100029000,765546.5748076,2945261.17371152,2744.0,,2437.0,http://www.rcc.mass.edu,POINT (-71.095494419999966 42.329235350000033),-71.09549441999997,42.32923535000003,colleges_and_universities.csv,2025-11-30 19:58:13
