SCHID,NAME,ADDRESS,TOWN_MAIL,TOWN,STATE,ZIP,PRINCIPAL,PHONE,FAX,GRADES,TYPE,shape_wkt,POINT_X,POINT_Y,source_file,cleaned_date
5300.0,Roxbury Prep - Mission Hill,120 Fisher Avenue,Roxbury,BOSTON,MA,02120,Dana Lehman,617-566-2361,617-566-2373,"6,7,8",CHA,POINT (-71.105142549999982 42.327667079000037),-71.10514254999998,42.32766707900004,non_public_schools.csv,2025-11-30 19:58:12
5470.0,Helen Davis Leadership Academy Charter Public School,23 Leonard Street,Boston,BOSTON,MA,02122,Karmala Sherwood,617-474-7950,617-474-7957,"6,7,8",CHA,POINT (-71.058716513999968 42.301393980000057),-71.05871651399997,42.30139398000006,non_public_schools.csv,2025-11-30 19:58:12
350950.0,British School of Boston,416-420 Pond Street,Jamaica Plain,BOSTON,MA,02130,Bruce Robinson,617-522-2261,617-522-0385,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12",PRI,POINT (-71.130149599999982 42.306584332000057),-71.13014959999998,42.30658433200006,non_public_schools.csv,2025-11-30 19:58:12
5230001.0,EDCO Collaborative - EDCO YOUTH ALT,"650 Beacon St , 3rd Floor",Boston,BOSTON,MA,02215,,617-262-9562,617-262-0098,,COP,POINT (-71.095738777999941 42.349337775000038),-71.09573877799994,42.34933777500004,non_public_schools.csv,2025-11-30 19:58:12
5600.0,Academy Of the Pacific Rim Charter Public School,1 Westinghouse Plaza,Hyde Park,BOSTON,MA,02136,Jenne Colasacco,617-361-0050,617-361-0045,"5,6,7,8,9,10,11,12",CHA,POINT (-71.13213133499994 42.244261811000058),-71.13213133499994,42.24426181100006,non_public_schools.csv,2025-11-30 19:58:12
5500.0,Boston Collegiate Charter School (Middle and High School),11 Mayhew Street,Dorchester,BOSTON,MA,02125,Tobey Jackson,617-265-1172,617-265-1176,"5,6,7,8,9,10,11,12",CHA,POINT (-71.060870959999988 42.321631088000061),-71.06087095999999,42.32163108800006,non_public_schools.csv,2025-11-30 19:58:12
5520.0,Boston Preparatory Charter Public School,1286 Hyde Park Avenue,Hyde Park,BOSTON,MA,02136,Amanda Colley,617-333-6688,617-333-6689,"6,7,8,9,10",CHA,POINT (-71.123737764999987 42.254798444000073),-71.12373776499999,42.25479844400007,non_public_schools.csv,2025-11-30 19:58:12
5400.0,Boston Renaissance Charter Public School,1415 Hyde Park Avenue,Hyde Park,BOSTON,MA,02136,Roger Harris,617-357-0900,617-338-2647,"K,1,2,3,4,5,6",CHA,POINT (-71.126821746999951 42.250367685000072),-71.12682174699995,42.25036768500007,non_public_schools.csv,2025-11-30 19:58:12
5440.0,Codman Academy Charter Public School,637 Washington Street,Dorchester,BOSTON,MA,02124,Thabiti Brown,617-287-0700,617-287-9064,"9,10,11,12",CHA,POINT (-71.071930592999934 42.289439664000042),-71.07193059299993,42.28943966400004,non_public_schools.csv,2025-11-30 19:58:12
5201.0,Conservatory Lab Charter School - Brighton,320 Washington Street,Brighton,BOSTON,MA,02135,Brad Kershner,617-208-6200,617-254-8909,"K,1,2",CHA,POINT (-71.151760773999968 42.348850986000059),-71.15176077399997,42.34885098600006,non_public_schools.csv,2025-11-30 19:58:12
