SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,PARK_ID,REGION,OS_ID,F_100ftRule,ZipCode,ParcelNumber,YearAcquired,Shape_Length,Shape_Area,shape_wkt,source_file,cleaned_date
Wilson Park,City of Boston,,1,Allston-Brighton,0.0971774,10 Wilson Park,Open Space District,"Malls, Squares & Plazas",PWD,BPRD,N,X,,PWD,,PARK_Maintenance_Region 4,2000,YES,02135,2102093500,0,0.000868752904593,4.2964839e-08,,open_space.csv,2025-11-30 19:58:12
James H. Roberts Playground,City of Boston,A97,3,Allston-Brighton,1.00407141,120 Hooker Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Hooker-Sorrento Street Playground; Roberts Playground,BPRD,156,PARK_Maintenance_Region 4,156,YES,02134,2200030000,0,0.00276645580217,4.4405681e-07,,open_space.csv,2025-11-30 19:58:12
Smith Playground,City of Boston,A97/LWCF,3,Allston-Brighton,15.02427694,235 Western Avenue,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,William F. Smith Playground; North Brighton Playground,BPRD,284,PARK_Maintenance_Region 4,284,YES,02134,2200542000,1894,0.011216155134474,6.645157199e-06,,open_space.csv,2025-11-30 19:58:12
Fern Square,City of Boston,A97,1,Allston-Brighton,0.04450631,1 Fern Street,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,"James F. Collins Square, Franklin Square",BPRD,115,PARK_Maintenance_Region 4,115,YES,02134,2201194000,0,0.000672302150916,1.9683207e-08,,open_space.csv,2025-11-30 19:58:12
Ringer Playground,City of Boston,A97/LWCF/USH,3,Allston-Brighton,10.26242622,85 Allston Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Stanley A. Ringer Playground,BPRD,259,PARK_Maintenance_Region 4,259,YES,"02134, 02135",2101101000,1916,0.012526446598524,4.537983926e-06,,open_space.csv,2025-11-30 19:58:12
McKinney Playground,City of Boston,A97/USH/CPA,3,Allston-Brighton,5.89148607,74 Faneuil Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,,BPRD,193,PARK_Maintenance_Region 4,193,YES,02135,2202540000,1930,0.006924114855163,2.605351444e-06,,open_space.csv,2025-11-30 19:58:12
Hobart Park,City of Boston,A97/LWCF,3,Allston-Brighton,0.8129884,85 Hobart Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,,BPRD,154,PARK_Maintenance_Region 4,154,YES,02135,2202935000,1970,0.002457514061056,3.59527841e-07,"MULTIPOLYGON (((-71.161011412999983 42.356056817000081, -71.161433587999966 42.356127943000047, -71.161521413999935 42.355771985000047, -71.161613575999979 42.355410283000026, -71.161076359999981 42.355315647000054, -71.161011412999983 42.356056817000081)))",open_space.csv,2025-11-30 19:58:12
Market Street Burying Ground,City of Boston,Ch114S7/A97,4,Allston-Brighton,0.39703734,380 Market Street,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X,,BPRD,188,PARK_Cemetery Maintenance Request,188,YES,02135,2202372000,1764,0.001775067630977,1.75567105e-07,"MULTIPOLYGON (((-71.151978643999939 42.350576428000068, -71.152427984999974 42.350605714000039, -71.152648435999936 42.350266882000028, -71.152345793999984 42.350256244000036, -71.15207081899996 42.350246500000026, -71.151978643999939 42.350576428000068)))",open_space.csv,2025-11-30 19:58:12
Jackson Square,City of Boston,A97,1,Allston-Brighton,0.1203154,58 Chestnut Hill Avenue,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Viola Square,BPRD,162,PARK_Maintenance_Region 4,162,YES,02135,2102849000,0,0.000871358697336,5.3199101e-08,,open_space.csv,2025-11-30 19:58:12
Reilly Playground,Commonwealth of Massachusetts,A97,3,Allston-Brighton,6.93091232,355 Chestnut Hill Avenue,Open Space District,"Parks, Playgrounds & Athletic Fields",DCR,,X,X,Reilly Memorial Recreation Center,,,INFO_Reallocation From Dept,3000,YES,02135,,0,0.008311602647853,3.064135437e-06,,open_space.csv,2025-11-30 19:58:12
Chestnut Hill Reservation IV,City of Boston,A97,1,Allston-Brighton,0.48179938,2200 Commonwealth Avenue,Institutional District,"Malls, Squares & Plazas",BPRD,DCR,X,X,Boyden Park,,,INFO_Reallocation From Dept,3001,YES,02467,2102442005,1899,0.001877775947482,2.13012293e-07,,open_space.csv,2025-11-30 19:58:12
Evergreen Cemetery,City of Boston,Ch114S7/A97/CPA,4,Allston-Brighton,20.48685893,2060 Commonwealth Avenue,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X,,BPRD,110,PARK_Cemetery Maintenance Request,110,YES,02135,"2102444000,2102444001,2102443001",1848,0.01286868501636,9.057495412e-06,,open_space.csv,2025-11-30 19:58:12
Hardiman Playground,City of Boston,A97,3,Allston-Brighton,1.47305566,380 Faneuil Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,PFC Kevin B. Hardiman Playground; Tar Park,BPRD,143,PARK_Maintenance_Region 4,143,YES,02135,2203801020,1948,0.003489442913872,6.51384414e-07,"MULTIPOLYGON (((-71.165695361999951 42.351016009000034, -71.165679121999972 42.351126427000054, -71.165660560999981 42.351239540000051, -71.165643114999966 42.351348243000075, -71.165627000999962 42.351457762000052, -71.165609550999989 42.351567276000026, -71.165581009999983 42.351754362000065, -71.166311227999984 42.351541765000036, -71.166733620999935 42.351401285000065, -71.166799148999985 42.351035238000065, -71.165705302999982 42.350949237000066, -71.165695361999951 42.351016009000034)))",open_space.csv,2025-11-30 19:58:12
Rogers Park,City of Boston,A97,3,Allston-Brighton,8.18367494,30 Rogers Park Avenue,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Thomas Galvin Park; Rogers-Galvin Park; Galvin Ball Fields,BPRD,267,PARK_Maintenance_Region 4,267,YES,02135,2205190000,1899,0.009013204756507,3.618609753e-06,,open_space.csv,2025-11-30 19:58:12
Chandler Pond,City of Boston,A97/WPA/CPA,3,Allston-Brighton,19.0329358,95 Lake Shore Road,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Alice E. Gallagher Memorial Park; Gallagher Memorial Park,BPRD,128,PARK_Maintenance_Region 4,128,YES,02135,"2205651000,2205530000,2205550000",1943,0.013492903256402,8.415549168e-06,,open_space.csv,2025-11-30 19:58:12
Mullin Square,City of Boston,A97,1,Dorchester,0.22675463,24 Edison Green,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,"Drohan Square, Edison Green, Mullen Square",BPRD,210,PARK_Maintenance_Region 2,210,YES,02125,1301906000,0,0.001395482929236,1.00220638e-07,,open_space.csv,2025-11-30 19:58:12
Dorchester North Burying Ground,City of Boston,Ch114S7/A97,4,Dorchester,3.23405865,611 Columbia Road,Commercial/Office/Business District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X,,BPRD,089,PARK_Cemetery Maintenance Request,89,YES,02125,"0703999000,0703999010",1633,0.005733890180834,1.42933785e-06,,open_space.csv,2025-11-30 19:58:12
Downer Avenue Playground,City of Boston,A97,3,Dorchester,0.77911878,40 Downer Avenue,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,,BPRD,092,PARK_Maintenance_Region 2,92,YES,02125,1301674000,1972,0.003107251727866,3.44312445e-07,"MULTIPOLYGON (((-71.061115989999962 42.311416902000076, -71.062118366999982 42.311947234000058, -71.062376448999942 42.311824629000057, -71.062265866999951 42.311773543000072, -71.062141073999953 42.311670036000066, -71.061225563999983 42.311123480000049, -71.061095627999975 42.311411910000061, -71.061115989999962 42.311416902000076)))",open_space.csv,2025-11-30 19:58:12
Quincy/Stanley Play Area,City of Boston,A97,3,Dorchester,0.37522654,21 Stanley Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Quincy Stanley Play Area; Stanley Street Play Area,BPRD,251,PARK_Maintenance_Region 5,251,YES,02125,1502974000,1955,0.001736944934808,1.65820734e-07,"MULTIPOLYGON (((-71.068430889999945 42.311144408000075, -71.068706904999942 42.311318464000067, -71.069133816999965 42.310947748000046, -71.068758554999988 42.310832213000026, -71.068430889999945 42.311144408000075)))",open_space.csv,2025-11-30 19:58:12
Deer Street Park,City of Boston,A97,3,Dorchester,0.24655864,39 Deer Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD + private,X,X,,BPRD,080,PARK_Maintenance_Region 2,80,YES,02125,1502549000,0,0.00152647514844,1.08959675e-07,,open_space.csv,2025-11-30 19:58:12
Savin Hill Beach,Commonwealth of Massachusetts,A97,2,Dorchester,3.43378167,68 Denny Street,Open Space District,"Parkways, Reservations & Beaches",DCR,,X,X,,,,INFO_Reallocation From Dept,3002,YES,02125,,0,0.012300422698073,1.517366697e-06,,open_space.csv,2025-11-30 19:58:12
Coppens Square,City of Boston,A97/CPA,1,Dorchester,0.35702589,325 Bowdoin Street,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Rev. Francis X. Coppens Square; Eaton Square,BPRD,070,PARK_Maintenance_Region 2,70,YES,02122,1502942500,0,0.001598944964158,1.57771008e-07,,open_space.csv,2025-11-30 19:58:12
Old Harbor Park,Commonwealth of Massachusetts,A97/LWCF/WPA/Ch91,2,Dorchester,8.04403827,,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR,,X,X,,,,INFO_Reallocation From Dept,3003,YES,02125,,0,0.022485273068617,3.555299337e-06,,open_space.csv,2025-11-30 19:58:12
