Park_Name,Play_Name,Neighbor,OS_ID,Asset,asset_deta,Asset_use1,Asset_use2,Asset_use3,Age,shape_wkt,POINT_X,POINT_Y,source_file,cleaned_date
Iacono/Readville Playground,,Hyde Park,160.0,Basketball,Full,,,,,POINT (-71.134794242999988 42.239251353000043),-71.13479424299999,42.23925135300004,park_features.csv,2025-11-30 19:58:11
East Boston Memorial Park I,,East Boston,98.0,Playground,,,,,"2-5,5-12",POINT (-71.030957509999951 42.371479945000033),-71.03095750999995,42.37147994500003,park_features.csv,2025-11-30 19:58:11
East Boston Memorial Park I,,East Boston,98.0,Tennis,Full,Pickleball x 1,,,,POINT (-71.027786065999976 42.370267899000055),-71.02778606599998,42.370267899000055,park_features.csv,2025-11-30 19:58:11
East Boston Memorial Park I,,East Boston,98.0,Tennis,Full,Pickleball x 1,,,,POINT (-71.027612752999971 42.370376825000051),-71.02761275299997,42.37037682500005,park_features.csv,2025-11-30 19:58:11
Iacono/Readville Playground,,Hyde Park,160.0,Basketball,Full,,,,,POINT (-71.134996079999951 42.239302062000036),-71.13499607999995,42.23930206200003,park_features.csv,2025-11-30 19:58:11
Draper Playground,,West Roxbury,93.0,Basketball,Full,,,,,POINT (-71.160311760999946 42.259559471000046),-71.16031176099995,42.259559471000046,park_features.csv,2025-11-30 19:58:11
Ross Playground,,Hyde Park,270.0,Basketball,Full,,,,,POINT (-71.113979438999934 42.263706119000062),-71.11397943899993,42.26370611900006,park_features.csv,2025-11-30 19:58:11
Ross Playground,,Hyde Park,270.0,Basketball,Full,,,,,POINT (-71.113766196999961 42.263757288000079),-71.11376619699996,42.26375728800008,park_features.csv,2025-11-30 19:58:11
Hunt Playground,,Mattapan,6.0,Basketball,Full,,,,,POINT (-71.097121863999973 42.274533275000067),-71.09712186399997,42.27453327500007,park_features.csv,2025-11-30 19:58:11
Hunt Playground,,Mattapan,6.0,Basketball,Full,,,,,POINT (-71.097299436999947 42.274631278000072),-71.09729943699995,42.27463127800007,park_features.csv,2025-11-30 19:58:11
Walsh Playground,,Mattapan,312.0,Basketball,Full,,,,,POINT (-71.071210742999938 42.276573142000075),-71.07121074299994,42.276573142000075,park_features.csv,2025-11-30 19:58:11
Walker Playground,,Mattapan,310.0,Basketball,Full,,,,,POINT (-71.090263806999985 42.277996194000025),-71.09026380699999,42.277996194000025,park_features.csv,2025-11-30 19:58:11
Walker Playground,,Mattapan,310.0,Basketball,Full,,,,,POINT (-71.090075437999985 42.27813829300004),-71.09007543799999,42.27813829300004,park_features.csv,2025-11-30 19:58:11
Billings Field,,West Roxbury,23.0,Basketball,Full,,,,,POINT (-71.155927820999977 42.28228686500006),-71.15592782099998,42.28228686500007,park_features.csv,2025-11-30 19:58:11
Billings Field,,West Roxbury,23.0,Basketball,Full,,,,,POINT (-71.155719806999969 42.282346870000026),-71.15571980699997,42.282346870000026,park_features.csv,2025-11-30 19:58:11
Thetford/Evans Playground,,Dorchester,302.0,Basketball,Full,,,,,POINT (-71.077768769999977 42.283356793000053),-71.07776876999998,42.28335679300005,park_features.csv,2025-11-30 19:58:11
Roberts Playground,,Dorchester,265.0,Basketball,Full,,,,,POINT (-71.072520941999983 42.285465998000063),-71.07252094199998,42.28546599800006,park_features.csv,2025-11-30 19:58:11
Roberts Playground,,Dorchester,265.0,Basketball,Full,,,,,POINT (-71.072287293999977 42.285497869000039),-71.07228729399998,42.28549786900004,park_features.csv,2025-11-30 19:58:11
Fallon Field,,Roslindale,112.0,Basketball,Full,,,,,POINT (-71.136328485999968 42.287056326000027),-71.13632848599997,42.28705632600003,park_features.csv,2025-11-30 19:58:11
Fallon Field,,Roslindale,112.0,Basketball,Full,,,,,POINT (-71.136558496999953 42.287086827000053),-71.13655849699995,42.28708682700005,park_features.csv,2025-11-30 19:58:11
Garvey Playground,,Dorchester,130.0,Basketball,Full,,,,,POINT (-71.045775946999981 42.287584407000054),-71.04577594699998,42.287584407000054,park_features.csv,2025-11-30 19:58:11
Healy Playground,,Roslindale,149.0,Basketball,Full,,,,,POINT (-71.122977451999986 42.288155035000045),-71.12297745199999,42.288155035000045,park_features.csv,2025-11-30 19:58:11
A Street Park,,South Boston,335.0,Playground,UA,,,,"2-5,5-12",POINT (-71.052549317999933 42.343811606000031),-71.05254931799993,42.34381160600003,park_features.csv,2025-11-30 19:58:11
Bynoe Park,,Roxbury,100.0,Basketball,Full,,,,,POINT (-71.076379779999968 42.329397549000078),-71.07637977999997,42.32939754900008,park_features.csv,2025-11-30 19:58:11
Hemenway Playground,,Dorchester,151.0,Basketball,Full,,,,,POINT (-71.05675307599995 42.291701304000071),-71.05675307599995,42.29170130400007,park_features.csv,2025-11-30 19:58:11
Harambee Park,,Dorchester,142.0,Basketball,Full,,,,,POINT (-71.081233441999984 42.292439953000041),-71.08123344199998,42.29243995300004,park_features.csv,2025-11-30 19:58:11
Harambee Park,,Dorchester,142.0,Basketball,Full,,,,,POINT (-71.081132908999962 42.29262701600004),-71.08113290899996,42.29262701600004,park_features.csv,2025-11-30 19:58:11
Parkman Playground,,Jamaica Plain,229.0,Basketball,Full,,,,,POINT (-71.113210194999965 42.295601066000074),-71.11321019499997,42.295601066000074,park_features.csv,2025-11-30 19:58:11
Doherty/Gibson Playground,,Dorchester,88.0,Basketball,Full,,,,,POINT (-71.062134570999945 42.297679153000047),-71.06213457099994,42.29767915300005,park_features.csv,2025-11-30 19:58:11
Doherty/Gibson Playground,,Dorchester,88.0,Basketball,Full,,,,,POINT (-71.062543939999955 42.29779783500004),-71.06254393999996,42.29779783500004,park_features.csv,2025-11-30 19:58:11
Ripley Playground,,Dorchester,261.0,Basketball,Full,,,,,POINT (-71.075899577999962 42.299020312000039),-71.07589957799996,42.29902031200004,park_features.csv,2025-11-30 19:58:11
Fenelon Street Playground,,Dorchester,114.0,Basketball,Full,,,,,POINT (-71.079618666999977 42.303207863000068),-71.07961866699998,42.30320786300006,park_features.csv,2025-11-30 19:58:11
Ronan Park,,Dorchester,268.0,Basketball,Full,,,,,POINT (-71.062564153999972 42.304793188000076),-71.06256415399997,42.30479318800008,park_features.csv,2025-11-30 19:58:11
Ronan Park,,Dorchester,268.0,Basketball,Full,,,,,POINT (-71.062636236999936 42.304934834000051),-71.06263623699994,42.30493483400005,park_features.csv,2025-11-30 19:58:11
Bynoe Park,,Roxbury,100.0,Basketball,Half,,,,,POINT (-71.076438199999984 42.329250151000053),-71.07643819999998,42.32925015100005,park_features.csv,2025-11-30 19:58:11
Bynoe Park,,Roxbury,100.0,Basketball,Half,,,,,POINT (-71.076565780999942 42.329340795000064),-71.07656578099994,42.329340795000064,park_features.csv,2025-11-30 19:58:11
Bynoe Park,,Roxbury,100.0,Tennis,Full,Pickleball x 1,,,,POINT (-71.076579002999949 42.32916222700004),-71.07657900299995,42.32916222700004,park_features.csv,2025-11-30 19:58:11
Ceylon Park,,Dorchester,49.0,Basketball,Full,,,,,POINT (-71.074861466999948 42.309859150000079),-71.07486146699995,42.30985915000008,park_features.csv,2025-11-30 19:58:11
Savin Hill Park,,Dorchester,276.0,Basketball,Full,,,,,POINT (-71.047768051999981 42.310484364000047),-71.04776805199998,42.31048436400005,park_features.csv,2025-11-30 19:58:11
Quincy Street Play Area,,Roxbury,250.0,Basketball,Full,,,,,POINT (-71.079820136999956 42.314642106000065),-71.07982013699996,42.314642106000065,park_features.csv,2025-11-30 19:58:11
Trotter School Playground,,Roxbury,306.0,Basketball,Full,,,,,POINT (-71.089022390999958 42.315172368000049),-71.08902239099996,42.31517236800005,park_features.csv,2025-11-30 19:58:11
Hannon Playground,,Roxbury,141.0,Basketball,Full,,,,,POINT (-71.070995514999936 42.319569694000052),-71.07099551499994,42.319569694000045,park_features.csv,2025-11-30 19:58:11
Mozart Street Playground,,Jamaica Plain,209.0,Basketball,Full,,,,,POINT (-71.104595254999936 42.322202760000039),-71.10459525499994,42.32220276000004,park_features.csv,2025-11-30 19:58:11
Little Scobie Playground,,Roxbury,181.0,Basketball,Full,,,,,POINT (-71.080780733999973 42.322786151000059),-71.08078073399997,42.32278615100006,park_features.csv,2025-11-30 19:58:11
Marcella Playground,,Roxbury,187.0,Basketball,Full,,,,,POINT (-71.096067516999938 42.323367586000074),-71.09606751699994,42.323367586000074,park_features.csv,2025-11-30 19:58:11
Marcella Playground,,Roxbury,187.0,Basketball,Full,,,,,POINT (-71.096270195999978 42.323433313000066),-71.09627019599998,42.323433313000066,park_features.csv,2025-11-30 19:58:11
Moakley Park,,South Boston,200.0,Basketball,Full,,,,,POINT (-71.051632518999952 42.324674604000052),-71.05163251899995,42.324674604000045,park_features.csv,2025-11-30 19:58:11
Moakley Park,,South Boston,200.0,Basketball,Full,,,,,POINT (-71.051416056999983 42.324685112000054),-71.05141605699998,42.324685112000054,park_features.csv,2025-11-30 19:58:11
Jefferson Playground,,Jamaica Plain,165.0,Basketball,Full,,,,,POINT (-71.108639814999947 42.326547966000078),-71.10863981499995,42.32654796600008,park_features.csv,2025-11-30 19:58:11
Clifford Playground,,Roxbury,59.0,Basketball,Full,,,,,POINT (-71.067547502999957 42.32657445500007),-71.06754750299996,42.32657445500007,park_features.csv,2025-11-30 19:58:11
Moakley Park,,South Boston,200.0,Basketball,Full,,,,,POINT (-71.050730354999985 42.328219211000032),-71.05073035499998,42.32821921100003,park_features.csv,2025-11-30 19:58:11
Moakley Park,,South Boston,200.0,Basketball,Full,,,,,POINT (-71.050477129999933 42.32822133500008),-71.05047712999993,42.32822133500008,park_features.csv,2025-11-30 19:58:11
McLaughlin Playground,,Mission Hill,194.0,Basketball,Full,,,,,POINT (-71.103464478999967 42.328575280000052),-71.10346447899997,42.328575280000045,park_features.csv,2025-11-30 19:58:11
McLaughlin Playground,,Mission Hill,194.0,Basketball,Full,,,,,POINT (-71.10339417199998 42.328707605000034),-71.10339417199998,42.328707605000034,park_features.csv,2025-11-30 19:58:11
Ramsay Park,,Roxbury,254.0,Basketball,Full,,,,,POINT (-71.079967015999955 42.334585342000025),-71.07996701599996,42.334585342000025,park_features.csv,2025-11-30 19:58:11
Ramsay Park,,Roxbury,254.0,Basketball,Full,,,,,POINT (-71.079844269999967 42.334695725000074),-71.07984426999997,42.334695725000074,park_features.csv,2025-11-30 19:58:11
Ramsay Park,,Roxbury,254.0,Basketball,Full,,,,,POINT (-71.079715831999977 42.334804396000038),-71.07971583199998,42.33480439600004,park_features.csv,2025-11-30 19:58:11
Sweeney Playground,,South Boston,297.0,Basketball,Full,,,,,POINT (-71.051450818999967 42.33709590400008),-71.05145081899997,42.33709590400008,park_features.csv,2025-11-30 19:58:11
Christopher Lee Playground,,South Boston,57.0,Basketball,Full,,,,,POINT (-71.03130181299997 42.33798360000003),-71.03130181299997,42.33798360000003,park_features.csv,2025-11-30 19:58:11
O'Day Playground,,South End,219.0,Basketball,Full,,,,,POINT (-71.075194585999952 42.340572356000052),-71.07519458599995,42.340572356000045,park_features.csv,2025-11-30 19:58:11
Back Bay Fens,,Fenway/Longwood,13.0,Basketball,Full,,,,,POINT (-71.09635448399996 42.341183854000064),-71.09635448399996,42.341183854000064,park_features.csv,2025-11-30 19:58:11
Back Bay Fens,,Fenway/Longwood,13.0,Basketball,Full,,,,,POINT (-71.096544080999934 42.341464470000062),-71.09654408099993,42.34146447000006,park_features.csv,2025-11-30 19:58:11
Joyce Playground,,Allston-Brighton,169.0,Basketball,Full,,,,,POINT (-71.151652842999965 42.345309215000043),-71.15165284299997,42.34530921500004,park_features.csv,2025-11-30 19:58:11
Rogers Park,,Allston-Brighton,267.0,Basketball,Full,,,,,POINT (-71.158702010999946 42.347935333000066),-71.15870201099995,42.347935333000066,park_features.csv,2025-11-30 19:58:11
Rogers Park,,Allston-Brighton,267.0,Basketball,Full,,,,,POINT (-71.158894189999955 42.348001770000053),-71.15889418999996,42.34800177000005,park_features.csv,2025-11-30 19:58:11
Fidelis Way Park,,Allston-Brighton,117.0,Basketball,Full,,,,,POINT (-71.143869259999974 42.348067736000075),-71.14386925999997,42.348067736000075,park_features.csv,2025-11-30 19:58:11
Fidelis Way Park,,Allston-Brighton,117.0,Basketball,Full,,,,,POINT (-71.144065043999944 42.34811151200006),-71.14406504399994,42.34811151200007,park_features.csv,2025-11-30 19:58:11
Ringer Playground,,Allston-Brighton,259.0,Basketball,Full,,,,,POINT (-71.138632664999989 42.350931272000025),-71.13863266499999,42.350931272000025,park_features.csv,2025-11-30 19:58:11
Ringer Playground,,Allston-Brighton,259.0,Basketball,Full,,,,,POINT (-71.138437617999955 42.350988170000051),-71.13843761799995,42.35098817000005,park_features.csv,2025-11-30 19:58:11
Hardiman Playground,,Allston-Brighton,143.0,Basketball,Full,,,,,POINT (-71.166595930999961 42.351138498000068),-71.16659593099996,42.35113849800006,park_features.csv,2025-11-30 19:58:11
Penniman Road Play Area,,Allston-Brighton,234.0,Basketball,Full,,,,,POINT (-71.137023879999958 42.355059132000065),-71.13702387999996,42.355059132000065,park_features.csv,2025-11-30 19:58:11
McKinney Playground,,Allston-Brighton,193.0,Basketball,Full,,,,,POINT (-71.152691021999942 42.355327064000051),-71.15269102199994,42.35532706400005,park_features.csv,2025-11-30 19:58:11
Hobart Park,,Allston-Brighton,154.0,Basketball,Full,,,,,POINT (-71.161315277999961 42.355674041000043),-71.16131527799996,42.35567404100004,park_features.csv,2025-11-30 19:58:11
Portsmouth Street Playground,,Allston-Brighton,243.0,Basketball,Full,,,,,POINT (-71.144714389999933 42.359139423000045),-71.14471438999993,42.359139423000045,park_features.csv,2025-11-30 19:58:11
Porzio Park,,East Boston,244.0,Basketball,Full,,,,,POINT (-71.029248036999945 42.363894407000032),-71.02924803699995,42.36389440700003,park_features.csv,2025-11-30 19:58:11
Polcari Park,,Central Boston,240.0,Basketball,Full,,,,,POINT (-71.054549632999965 42.36493983500003),-71.05454963299997,42.36493983500003,park_features.csv,2025-11-30 19:58:11
DeFilippo Playground,,Central Boston,81.0,Basketball,Full,,,,,POINT (-71.05704607499996 42.366528196000047),-71.05704607499996,42.36652819600005,park_features.csv,2025-11-30 19:58:11
Mirabella Pool,,Central Boston,2137.0,Basketball,Full,,,,,POINT (-71.054818564999948 42.368873403000066),-71.05481856499995,42.368873403000066,park_features.csv,2025-11-30 19:58:11
LoPresti Park,,East Boston,182.0,Basketball,Full,,,,,POINT (-71.043063859999961 42.369648251000058),-71.04306385999996,42.36964825100006,park_features.csv,2025-11-30 19:58:11
LoPresti Park,,East Boston,182.0,Basketball,Full,,,,,POINT (-71.042867678999983 42.36989219000003),-71.04286767899998,42.36989219000003,park_features.csv,2025-11-30 19:58:11
Paris Street Playground,,East Boston,226.0,Basketball,Full,,,,,POINT (-71.036992374999954 42.372187985000039),-71.03699237499995,42.37218798500004,park_features.csv,2025-11-30 19:58:11
