BLDG_ID,BLDG_NAME,ADDRESS,CITY,ZIPCODE,CSP_SCH_ID,SCH_ID,SCH_NAME,SCH_LABEL,SCH_TYPE,SHARED,COMPLEX,shape_wkt,POINT_X,POINT_Y,source_file,cleaned_date
1.0,Guild Bldg,195 Leyden Street,East Boston,2128,4061.0,4061.0,Guild Elementary,Guild,ES,,,POINT (-71.004120000999933 42.388790000000029),-71.00412000099993,42.38879000000003,public_schools.csv,2025-11-30 19:58:12
3.0,"Kennedy, P Bldg",343 Saratoga Street,East Boston,2128,4541.0,4541.0,Kennedy Patrick Elem,PJ Kennedy,ES,,,POINT (-71.030479709999952 42.37853662100008),-71.03047970999995,42.37853662100008,public_schools.csv,2025-11-30 19:58:12
4.0,Otis Bldg,218 Marion Street,East Boston,2128,4322.0,4322.0,Otis Elementary,Otis,ES,,,POINT (-71.033890000999975 42.375270000000057),-71.03389000099997,42.37527000000006,public_schools.csv,2025-11-30 19:58:12
6.0,Odonnell Bldg,33 Trenton Street,East Boston,2128,4543.0,4543.0,O'Donnell Elementary,O'Donnell,ES,,,POINT (-71.038010132999943 42.378079940000077),-71.03801013299994,42.37807994000008,public_schools.csv,2025-11-30 19:58:12
7.0,East Boston High Bldg,86 White Street,East Boston,2128,1070.0,1070.0,East Boston High,East Boston HS,HS,,,POINT (-71.034920849999935 42.38094877900005),-71.03492084999993,42.38094877900005,public_schools.csv,2025-11-30 19:58:12
8.0,Umana / Barnes Bldg,312 Border Street,East Boston,2128,4323.0,4323.0,Umana/ Alighieri K-8,Umana/ Alighieri K-8,K-8,,,POINT (-71.040329238999959 42.378281316000027),-71.04032923899996,42.37828131600003,public_schools.csv,2025-11-30 19:58:12
10.0,East Boston Eec Bldg,135 Gove Street,East Boston,2128,4450.0,4450.0,East Boston EEC,East Boston EEC,ELC,,,POINT (-71.03411936599997 42.369667347000075),-71.03411936599997,42.369667347000075,public_schools.csv,2025-11-30 19:58:12
11.0,Mckay Bldg,122 Cottage Street,East Boston,2128,4360.0,4360.0,McKay K-8,McKay K-8,K-8,,,POINT (-71.034306999999956 42.369265000000041),-71.03430699999996,42.36926500000004,public_schools.csv,2025-11-30 19:58:12
12.0,Adams Bldg,165 Webster Street,East Boston,2128,4361.0,4361.0,Adams Elementary,Adams,ES,,,POINT (-71.034889727999939 42.365554330000066),-71.03488972799994,42.365554330000066,public_schools.csv,2025-11-30 19:58:12
13.0,Harvard-Kent,50 Bunker Hill Street,Charlestown,2129,4280.0,4280.0,Harvard/Kent Elem,Harvard/Kent,ES,,,POINT (-71.057491653999989 42.376619841000036),-71.05749165399999,42.37661984100003,public_schools.csv,2025-11-30 19:58:12
