zpid,synthetic_version,zipcode,has_in_unit_laundry,has_laundry_in_building,has_dishwasher,has_parking,parking_type,parking_spots,pets_allowed,furnished,heating_type,cooling_type,has_elevator,has_gym,has_pool,has_balcony_or_patio,internet_included,utilities_included,noise_level,walkability_score,kid_friendly_score,safety_score,energy_efficiency_score,is_luxury_flag,is_student_friendly_flag,generated_at_utc,is_synthetic,source_file,cleaned_date
56388909,v1_basic_rules,1801,True,False,False,True,lot,1,cats,True,electric,window,False,False,False,False,False,none,2,63,57,63,48,False,False,2025-11-28T06:12:53.814590,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
452787987,v1_basic_rules,2210,True,False,True,True,garage,1,cats,False,electric,window,True,False,False,True,False,none,5,63,60,62,72,True,False,2025-11-28T06:12:53.814590,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
59126608,v1_basic_rules,2136,True,False,True,True,garage,2,cats_dogs,False,gas,window,False,False,True,False,False,heat_hw,3,63,67,78,53,True,False,2025-11-28T06:12:53.815592,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
2073776159,v1_basic_rules,2110,True,False,True,True,lot,1,cats_dogs,True,central,central,False,False,False,False,False,heat_hw,4,51,78,76,90,False,False,2025-11-28T06:12:53.815592,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
80865147,v1_basic_rules,2493,True,False,True,True,garage,2,cats,True,gas,central,False,False,False,False,False,heat_hw,4,69,63,57,76,False,False,2025-11-28T06:12:53.815592,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
57437928,v1_basic_rules,2026,True,False,False,True,garage,1,none,True,gas,window,False,False,False,True,False,heat,3,68,70,67,82,False,False,2025-11-28T06:12:53.815592,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
56273798,v1_basic_rules,2155,True,False,True,True,garage,2,cats_dogs,False,gas,none,False,False,False,False,False,heat_hw,3,71,75,66,51,False,False,2025-11-28T06:12:53.815592,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
59107751,v1_basic_rules,2121,True,False,False,True,lot,2,dogs,False,gas,central,False,False,False,False,False,none,3,57,67,92,58,False,False,2025-11-28T06:12:53.815592,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
56118148,v1_basic_rules,1970,False,False,False,True,garage,2,none,False,electric,central,False,False,False,True,False,heat,2,84,76,83,64,False,False,2025-11-28T06:12:53.815592,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
56437276,v1_basic_rules,2140,True,False,True,True,lot,2,cats_dogs,False,gas,central,False,False,False,False,False,none,3,60,66,51,42,False,False,2025-11-28T06:12:53.815592,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
56132495,v1_basic_rules,1906,True,False,True,True,lot,2,cats,False,electric,central,False,False,False,False,False,heat_hw,3,51,100,86,51,False,False,2025-11-28T06:12:53.815592,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
458020791,v1_basic_rules,2134,False,False,True,True,street,2,cats_dogs,False,oil,window,False,False,True,True,False,heat_hw,3,51,54,73,77,True,False,2025-11-28T06:12:53.816591,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
57498383,v1_basic_rules,2368,True,False,True,True,lot,2,cats_dogs,False,electric,window,False,False,False,False,False,none,3,48,53,53,65,False,False,2025-11-28T06:12:53.816591,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
56358045,v1_basic_rules,2452,True,False,False,True,garage,2,cats,False,gas,central,False,False,False,False,False,none,3,87,75,67,60,False,False,2025-11-28T06:12:53.816591,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
81378925,v1_basic_rules,2141,False,False,True,True,lot,1,none,False,electric,window,False,False,False,True,False,all_utils,4,68,47,70,59,False,False,2025-11-28T06:12:53.816591,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
457635951,v1_basic_rules,2148,True,False,True,True,garage,2,cats_dogs,False,electric,window,False,False,False,False,False,heat_hw,3,53,79,85,57,False,False,2025-11-28T06:12:53.816591,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
56311825,v1_basic_rules,2464,True,False,True,True,garage,2,dogs,False,gas,window,False,False,False,True,False,none,2,60,81,64,55,False,False,2025-11-28T06:12:53.816591,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
56315670,v1_basic_rules,2459,False,True,True,True,garage,2,cats_dogs,False,oil,none,False,False,False,True,False,heat_hw,4,53,39,64,45,False,False,2025-11-28T06:12:53.816591,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
56583860,v1_basic_rules,2169,True,False,True,True,garage,3,cats_dogs,False,electric,window,False,False,False,False,False,heat,2,64,57,51,70,False,False,2025-11-28T06:12:53.816591,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
57137773,v1_basic_rules,1887,True,False,True,True,garage,2,none,False,gas,central,False,False,False,True,False,none,3,78,84,88,53,False,False,2025-11-28T06:12:53.816591,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
59136308,v1_basic_rules,2130,True,False,True,True,lot,2,none,False,gas,window,False,False,False,False,False,heat,1,64,46,89,80,False,False,2025-11-28T06:12:53.817590,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
56676490,v1_basic_rules,2151,False,False,False,True,lot,2,none,False,electric,central,False,False,False,False,False,none,3,53,54,74,65,False,False,2025-11-28T06:12:53.817590,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
80861845,v1_basic_rules,2143,False,False,True,True,street,2,cats_dogs,False,gas,window,False,False,False,True,False,all_utils,4,66,81,67,64,False,False,2025-11-28T06:12:53.817590,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
56071966,v1_basic_rules,1905,True,False,False,True,garage,2,cats_dogs,False,gas,none,False,False,False,True,False,none,3,69,80,92,33,False,False,2025-11-28T06:12:53.817590,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
56318793,v1_basic_rules,2458,True,False,True,True,lot,2,none,False,gas,window,False,False,False,True,False,heat_hw,2,66,60,60,59,False,False,2025-11-28T06:12:53.817590,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
56627606,v1_basic_rules,2188,True,False,True,True,garage,2,cats_dogs,False,gas,central,False,False,False,True,False,none,4,62,61,61,58,False,False,2025-11-28T06:12:53.817590,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
57496270,v1_basic_rules,2368,True,False,False,True,garage,2,dogs,True,gas,central,False,False,False,False,False,heat_hw,2,59,66,75,37,False,False,2025-11-28T06:12:53.817590,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
56612880,v1_basic_rules,2481,False,True,False,True,garage,2,cats_dogs,True,oil,none,False,False,False,False,False,heat,3,69,53,95,65,False,False,2025-11-28T06:12:53.817590,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
57469108,v1_basic_rules,2186,True,False,True,True,lot,2,cats_dogs,False,gas,window,False,False,False,True,False,heat,4,69,70,47,61,False,False,2025-11-28T06:12:53.817590,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
56319513,v1_basic_rules,2458,True,False,False,True,lot,1,cats_dogs,False,gas,central,False,False,False,False,False,all_utils,3,78,48,73,59,False,False,2025-11-28T06:12:53.818590,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
59149656,v1_basic_rules,2127,False,False,True,True,garage,2,cats_dogs,False,central,none,False,False,False,False,False,heat_hw,3,59,41,66,63,False,False,2025-11-28T06:12:53.818590,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
56632262,v1_basic_rules,2190,True,False,False,True,street,1,cats_dogs,False,electric,none,False,False,False,False,False,heat,4,52,79,67,72,False,False,2025-11-28T06:12:53.818590,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
2086965285,v1_basic_rules,2343,False,True,True,True,garage,3,dogs,False,central,central,False,False,False,False,False,heat_hw,3,42,44,89,44,False,False,2025-11-28T06:12:53.818590,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
57140940,v1_basic_rules,1887,True,False,False,True,garage,3,cats,True,gas,central,False,False,False,True,False,none,3,45,72,56,63,False,False,2025-11-28T06:12:53.818590,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
56118437,v1_basic_rules,1970,True,False,False,True,garage,2,cats,True,gas,window,False,False,False,True,False,none,3,52,65,93,46,False,False,2025-11-28T06:12:53.818590,True,synthetic_amenities_20251128_061253.csv,2025-11-30 19:58:01
