SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,PARK_ID,REGION,OS_ID,F_100ftRule,ZipCode,ParcelNumber,YearAcquired,STArea__,STLength__,Shape_Length,Shape_Area,shape_wkt
Wilson Park,City of Boston, ,1,Allston-Brighton,0.097177400000000,10 Wilson Park,Open Space District,"Malls, Squares & Plazas",PWD,BPRD,N,X,,PWD,,PARK_Maintenance_Region 4,2000,YES,02135,2102093500,0,,,0.000868752904593,0.000000042964839,
James H. Roberts Playground,City of Boston,A97,3,Allston-Brighton,1.004071410000000,120 Hooker Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Hooker-Sorrento Street Playground; Roberts Playground,BPRD,156,PARK_Maintenance_Region 4,156,YES,02134,2200030000,0,,,0.002766455802170,0.000000444056810,
Smith Playground,City of Boston,A97/LWCF,3,Allston-Brighton,15.024276940000000,235 Western Avenue,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,William F. Smith Playground; North Brighton Playground,BPRD,284,PARK_Maintenance_Region 4,284,YES,02134,2200542000,1894,,,0.011216155134474,0.000006645157199,
Fern Square,City of Boston,A97,1,Allston-Brighton,0.044506310000000,1 Fern Street,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,"James F. Collins Square, Franklin Square",BPRD,115,PARK_Maintenance_Region 4,115,YES,02134,2201194000,0,,,0.000672302150916,0.000000019683207,
Ringer Playground,City of Boston,A97/LWCF/USH,3,Allston-Brighton,10.262426220000000,85 Allston Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Stanley A. Ringer Playground,BPRD,259,PARK_Maintenance_Region 4,259,YES,"02134, 02135",2101101000,1916,,,0.012526446598524,0.000004537983926,
McKinney Playground,City of Boston,A97/USH/CPA,3,Allston-Brighton,5.891486070000000,74 Faneuil Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,193,PARK_Maintenance_Region 4,193,YES,02135,2202540000,1930,,,0.006924114855163,0.000002605351444,
Hobart Park,City of Boston,A97/LWCF,3,Allston-Brighton,0.812988400000000,85 Hobart Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,154,PARK_Maintenance_Region 4,154,YES,02135,2202935000,1970,,,0.002457514061056,0.000000359527841,"MULTIPOLYGON (((-71.161011412999983 42.356056817000081, -71.161433587999966 42.356127943000047, -71.161521413999935 42.355771985000047, -71.161613575999979 42.355410283000026, -71.161076359999981 42.355315647000054, -71.161011412999983 42.356056817000081)))"
Market Street Burying Ground,City of Boston,Ch114S7/A97,4,Allston-Brighton,0.397037340000000,380 Market Street,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X, ,BPRD,188,PARK_Cemetery Maintenance Request,188,YES,02135,2202372000,1764,,,0.001775067630977,0.000000175567105,"MULTIPOLYGON (((-71.151978643999939 42.350576428000068, -71.152427984999974 42.350605714000039, -71.152648435999936 42.350266882000028, -71.152345793999984 42.350256244000036, -71.15207081899996 42.350246500000026, -71.151978643999939 42.350576428000068)))"
Jackson Square,City of Boston,A97,1,Allston-Brighton,0.120315400000000,58 Chestnut Hill Avenue,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Viola Square,BPRD,162,PARK_Maintenance_Region 4,162,YES,02135,2102849000,0,,,0.000871358697336,0.000000053199101,
Reilly Playground,Commonwealth of Massachusetts,A97,3,Allston-Brighton,6.930912320000000,355 Chestnut Hill Avenue,Open Space District,"Parks, Playgrounds & Athletic Fields",DCR,NULL,X,X,Reilly Memorial Recreation Center,,,INFO_Reallocation From Dept,3000,YES,02135,,0,,,0.008311602647853,0.000003064135437,
Chestnut Hill Reservation IV,City of Boston,A97,1,Allston-Brighton,0.481799380000000,2200 Commonwealth Avenue,Institutional District,"Malls, Squares & Plazas",BPRD,DCR,X,X,Boyden Park,,,INFO_Reallocation From Dept,3001,YES,02467,2102442005,1899,,,0.001877775947482,0.000000213012293,
Evergreen Cemetery,City of Boston,Ch114S7/A97/CPA,4,Allston-Brighton,20.486858930000000,2060 Commonwealth Avenue,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X, ,BPRD,110,PARK_Cemetery Maintenance Request,110,YES,02135,"2102444000,2102444001,2102443001",1848,,,0.012868685016360,0.000009057495412,
