Park_Name,Play_Name,Neighbor,OS_ID,Asset,asset_deta,Asset_use1,Asset_use2,Asset_use3,Age,shape_wkt,POINT_X,POINT_Y
Iacono/Readville Playground,N/A,Hyde Park,160,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.134794242999988 42.239251353000043),-71.134794242999988,42.239251353000043
East Boston Memorial Park I,N/A,East Boston,98,Playground,N/A,N/A,N/A,N/A,"2-5,5-12",POINT (-71.030957509999951 42.371479945000033),-71.030957509999951,42.371479945000033
East Boston Memorial Park I,N/A,East Boston,98,Tennis,Full,Pickleball x 1,N/A,N/A,N/A,POINT (-71.027786065999976 42.370267899000055),-71.027786065999976,42.370267899000055
East Boston Memorial Park I,N/A,East Boston,98,Tennis,Full,Pickleball x 1,N/A,N/A,N/A,POINT (-71.027612752999971 42.370376825000051),-71.027612752999971,42.370376825000051
Iacono/Readville Playground,N/A,Hyde Park,160,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.134996079999951 42.239302062000036),-71.134996079999951,42.239302062000036
Draper Playground,N/A,West Roxbury,93,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.160311760999946 42.259559471000046),-71.160311760999946,42.259559471000046
Ross Playground,N/A,Hyde Park,270,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.113979438999934 42.263706119000062),-71.113979438999934,42.263706119000062
Ross Playground,N/A,Hyde Park,270,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.113766196999961 42.263757288000079),-71.113766196999961,42.263757288000079
Hunt Playground,N/A,Mattapan,6,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.097121863999973 42.274533275000067),-71.097121863999973,42.274533275000067
Hunt Playground,N/A,Mattapan,6,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.097299436999947 42.274631278000072),-71.097299436999947,42.274631278000072
Walsh Playground,N/A,Mattapan,312,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.071210742999938 42.276573142000075),-71.071210742999938,42.276573142000075
Walker Playground,N/A,Mattapan,310,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.090263806999985 42.277996194000025),-71.090263806999985,42.277996194000025
Walker Playground,N/A,Mattapan,310,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.090075437999985 42.27813829300004),-71.090075437999985,42.278138293000040
Billings Field,N/A,West Roxbury,23,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.155927820999977 42.28228686500006),-71.155927820999977,42.282286865000060
Billings Field,N/A,West Roxbury,23,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.155719806999969 42.282346870000026),-71.155719806999969,42.282346870000026
Thetford/Evans Playground,N/A,Dorchester,302,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.077768769999977 42.283356793000053),-71.077768769999977,42.283356793000053
Roberts Playground,N/A,Dorchester,265,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.072520941999983 42.285465998000063),-71.072520941999983,42.285465998000063
Roberts Playground,N/A,Dorchester,265,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.072287293999977 42.285497869000039),-71.072287293999977,42.285497869000039
Fallon Field,N/A,Roslindale,112,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.136328485999968 42.287056326000027),-71.136328485999968,42.287056326000027
Fallon Field,N/A,Roslindale,112,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.136558496999953 42.287086827000053),-71.136558496999953,42.287086827000053
Garvey Playground,N/A,Dorchester,130,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.045775946999981 42.287584407000054),-71.045775946999981,42.287584407000054
Healy Playground,N/A,Roslindale,149,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.122977451999986 42.288155035000045),-71.122977451999986,42.288155035000045
A Street Park,N/A,South Boston,335,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.052549317999933 42.343811606000031),-71.052549317999933,42.343811606000031
Bynoe Park,N/A,Roxbury,100,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.076379779999968 42.329397549000078),-71.076379779999968,42.329397549000078
Hemenway Playground,N/A,Dorchester,151,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.05675307599995 42.291701304000071),-71.056753075999950,42.291701304000071
Harambee Park,N/A,Dorchester,142,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.081233441999984 42.292439953000041),-71.081233441999984,42.292439953000041
Harambee Park,N/A,Dorchester,142,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.081132908999962 42.29262701600004),-71.081132908999962,42.292627016000040
Parkman Playground,N/A,Jamaica Plain,229,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.113210194999965 42.295601066000074),-71.113210194999965,42.295601066000074
Doherty/Gibson Playground,N/A,Dorchester,88,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.062134570999945 42.297679153000047),-71.062134570999945,42.297679153000047
Doherty/Gibson Playground,N/A,Dorchester,88,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.062543939999955 42.29779783500004),-71.062543939999955,42.297797835000040
Ripley Playground,N/A,Dorchester,261,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.075899577999962 42.299020312000039),-71.075899577999962,42.299020312000039
Fenelon Street Playground,N/A,Dorchester,114,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.079618666999977 42.303207863000068),-71.079618666999977,42.303207863000068
Ronan Park,N/A,Dorchester,268,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.062564153999972 42.304793188000076),-71.062564153999972,42.304793188000076
Ronan Park,N/A,Dorchester,268,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.062636236999936 42.304934834000051),-71.062636236999936,42.304934834000051
Bynoe Park,N/A,Roxbury,100,Basketball,Half,N/A,N/A,N/A,N/A,POINT (-71.076438199999984 42.329250151000053),-71.076438199999984,42.329250151000053
Bynoe Park,N/A,Roxbury,100,Basketball,Half,N/A,N/A,N/A,N/A,POINT (-71.076565780999942 42.329340795000064),-71.076565780999942,42.329340795000064
Bynoe Park,N/A,Roxbury,100,Tennis,Full,Pickleball x 1,N/A,N/A,N/A,POINT (-71.076579002999949 42.32916222700004),-71.076579002999949,42.329162227000040
Ceylon Park,N/A,Dorchester,49,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.074861466999948 42.309859150000079),-71.074861466999948,42.309859150000079
Savin Hill Park,N/A,Dorchester,276,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.047768051999981 42.310484364000047),-71.047768051999981,42.310484364000047
Quincy Street Play Area,N/A,Roxbury,250,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.079820136999956 42.314642106000065),-71.079820136999956,42.314642106000065
Trotter School Playground,N/A,Roxbury,306,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.089022390999958 42.315172368000049),-71.089022390999958,42.315172368000049
Hannon Playground,N/A,Roxbury,141,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.070995514999936 42.319569694000052),-71.070995514999936,42.319569694000052
Mozart Street Playground,N/A,Jamaica Plain,209,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.104595254999936 42.322202760000039),-71.104595254999936,42.322202760000039
Little Scobie Playground,N/A,Roxbury,181,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.080780733999973 42.322786151000059),-71.080780733999973,42.322786151000059
Marcella Playground,N/A,Roxbury,187,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.096067516999938 42.323367586000074),-71.096067516999938,42.323367586000074
Marcella Playground,N/A,Roxbury,187,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.096270195999978 42.323433313000066),-71.096270195999978,42.323433313000066
Moakley Park,N/A,South Boston,200,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.051632518999952 42.324674604000052),-71.051632518999952,42.324674604000052
Moakley Park,N/A,South Boston,200,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.051416056999983 42.324685112000054),-71.051416056999983,42.324685112000054
Jefferson Playground,N/A,Jamaica Plain,165,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.108639814999947 42.326547966000078),-71.108639814999947,42.326547966000078
Clifford Playground,N/A,Roxbury,59,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.067547502999957 42.32657445500007),-71.067547502999957,42.326574455000070
Moakley Park,N/A,South Boston,200,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.050730354999985 42.328219211000032),-71.050730354999985,42.328219211000032
Moakley Park,N/A,South Boston,200,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.050477129999933 42.32822133500008),-71.050477129999933,42.328221335000080
McLaughlin Playground,N/A,Mission Hill,194,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.103464478999967 42.328575280000052),-71.103464478999967,42.328575280000052
McLaughlin Playground,N/A,Mission Hill,194,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.10339417199998 42.328707605000034),-71.103394171999980,42.328707605000034
Ramsay Park,N/A,Roxbury,254,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.079967015999955 42.334585342000025),-71.079967015999955,42.334585342000025
Ramsay Park,N/A,Roxbury,254,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.079844269999967 42.334695725000074),-71.079844269999967,42.334695725000074
Ramsay Park,N/A,Roxbury,254,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.079715831999977 42.334804396000038),-71.079715831999977,42.334804396000038
Sweeney Playground,N/A,South Boston,297,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.051450818999967 42.33709590400008),-71.051450818999967,42.337095904000080
Christopher Lee Playground,N/A,South Boston,57,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.03130181299997 42.33798360000003),-71.031301812999970,42.337983600000030
O'Day Playground,N/A,South End,219,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.075194585999952 42.340572356000052),-71.075194585999952,42.340572356000052
Back Bay Fens,N/A,Fenway/Longwood,13,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.09635448399996 42.341183854000064),-71.096354483999960,42.341183854000064
Back Bay Fens,N/A,Fenway/Longwood,13,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.096544080999934 42.341464470000062),-71.096544080999934,42.341464470000062
Joyce Playground,N/A,Allston-Brighton,169,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.151652842999965 42.345309215000043),-71.151652842999965,42.345309215000043
Rogers Park,N/A,Allston-Brighton,267,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.158702010999946 42.347935333000066),-71.158702010999946,42.347935333000066
Rogers Park,N/A,Allston-Brighton,267,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.158894189999955 42.348001770000053),-71.158894189999955,42.348001770000053
Fidelis Way Park,N/A,Allston-Brighton,117,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.143869259999974 42.348067736000075),-71.143869259999974,42.348067736000075
Fidelis Way Park,N/A,Allston-Brighton,117,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.144065043999944 42.34811151200006),-71.144065043999944,42.348111512000060
Ringer Playground,N/A,Allston-Brighton,259,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.138632664999989 42.350931272000025),-71.138632664999989,42.350931272000025
Ringer Playground,N/A,Allston-Brighton,259,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.138437617999955 42.350988170000051),-71.138437617999955,42.350988170000051
Hardiman Playground,N/A,Allston-Brighton,143,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.166595930999961 42.351138498000068),-71.166595930999961,42.351138498000068
Penniman Road Play Area,N/A,Allston-Brighton,234,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.137023879999958 42.355059132000065),-71.137023879999958,42.355059132000065
McKinney Playground,N/A,Allston-Brighton,193,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.152691021999942 42.355327064000051),-71.152691021999942,42.355327064000051
Hobart Park,N/A,Allston-Brighton,154,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.161315277999961 42.355674041000043),-71.161315277999961,42.355674041000043
Portsmouth Street Playground,N/A,Allston-Brighton,243,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.144714389999933 42.359139423000045),-71.144714389999933,42.359139423000045
Porzio Park,N/A,East Boston,244,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.029248036999945 42.363894407000032),-71.029248036999945,42.363894407000032
Polcari Park,N/A,Central Boston,240,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.054549632999965 42.36493983500003),-71.054549632999965,42.364939835000030
DeFilippo Playground,N/A,Central Boston,81,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.05704607499996 42.366528196000047),-71.057046074999960,42.366528196000047
Mirabella Pool,N/A,Central Boston,2137,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.054818564999948 42.368873403000066),-71.054818564999948,42.368873403000066
LoPresti Park,N/A,East Boston,182,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.043063859999961 42.369648251000058),-71.043063859999961,42.369648251000058
LoPresti Park,N/A,East Boston,182,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.042867678999983 42.36989219000003),-71.042867678999983,42.369892190000030
Paris Street Playground,N/A,East Boston,226,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.036992374999954 42.372187985000039),-71.036992374999954,42.372187985000039
Leo F. McCarthy Playground,N/A,Charlestown,101,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.068448812999975 42.37969332800003),-71.068448812999975,42.379693328000030
Doherty Playground,N/A,Charlestown,87,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.067786173999934 42.382031891000054),-71.067786173999934,42.382031891000054
Doherty Playground,N/A,Charlestown,87,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.068001641999956 42.382103658000062),-71.068001641999956,42.382103658000062
American Legion Playground,N/A,East Boston,9,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.029299476999938 42.382380531000081),-71.029299476999938,42.382380531000081
American Legion Playground,N/A,East Boston,9,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.029085395999971 42.382381059000068),-71.029085395999971,42.382381059000068
McLean Playground,N/A,East Boston,195,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.019367803999955 42.382704657000033),-71.019367803999955,42.382704657000033
Amatucci Playground,N/A,Hyde Park,7,Basketball,Half,N/A,N/A,N/A,N/A,POINT (-71.126614984999947 42.248714014000029),-71.126614984999947,42.248714014000029
